Artist,Title,Label,Path
The Weeknd,Blinding Lights,1,Songs/The Weeknd - Blinding Lights (Official Video).mp3
Olivia Rodrigo,Good 4 U,1,Songs/Olivia Rodrigo - good 4 u (Official Video).mp3
Olivia Rodrigo,Drivers License,1,Songs/Olivia Rodrigo - drivers license (Official Video).mp3
Lil Nas X,Montero (Call Me By Your Name),1,Songs/Lil Nas X - MONTERO (Call Me By Your Name) (Official Video).mp3
BTS,Butter,1,Songs/BTS (방탄소년단) 'Butter' Official MV.mp3
Olivia Rodrigo,Deja Vu,1,Songs/Olivia Rodrigo - deja vu (Official Video).mp3
Ariana Grande,Positions,1,Songs/Ariana Grande - positions (official video).mp3
Ed Sheeran,Bad Habits,1,Songs/Ed Sheeran - Bad Habits [Official Video].mp3
Luke Combs,Forever After All,1,Songs/Luke Combs - Forever After All (Official Video).mp3
Pop Smoke,What You Know Bout Love,1,Songs/POP SMOKE - WHAT YOU KNOW BOUT LOVE (Official Video).mp3
Billie Eilish,Therefore I Am,1,Songs/Billie Eilish - Therefore I Am (Official Music Video).mp3
Cardi B,Up,1,Songs/Cardi B - Up [Official Music Video].mp3
Lil Baby,On Me,1,Songs/Lil Baby - On Me.mp3
Olivia Rodrigo,Traitor,1,Songs/Olivia Rodrigo - traitor (Official Video).mp3
BTS,Dynamite,1,Songs/BTS (방탄소년단) 'Dynamite' Official MV.mp3
Doja Cat,Need To Know,1,Songs/Doja Cat - Need to Know (Official Video).mp3
Taylor Swift,Willow,1,Songs/Taylor Swift - willow (Official Music Video).mp3
Luke Combs,Better Together,1,Songs/Luke Combs - Better Together (Lyrics).mp3
Doja Cat,Streets,1,Songs/Doja Cat - Streets (Official Video).mp3
Drake,What's Next,1,Songs/Drake - What’s Next (Official Lyric Video).mp3
Roddy Ricch,Late At Night,1,Songs/Roddy Ricch - Late At Night [Official Music Video].mp3
Justin Bieber,Anyone,1,Songs/Justin Bieber - Anyone.mp3
Ariana Grande,pov,1,Songs/Ariana Grande - pov (audio).mp3
The Weeknd,Take My Breath,1,Songs/The Weeknd - Take My Breath (Official Music Video).mp3
Billie Eilish,Happier Than Ever,1,Songs/Billie Eilish - Happier Than Ever (Official Music Video).mp3
Post Malone,Circles,1,Songs/Post Malone - Circles.mp3
Roddy Ricch,The Box,1,Songs/Roddy Ricch - The Box [Official Music Video].mp3
Harry Styles,Adore You,1,Songs/Harry Styles - Adore You (Official Video).mp3
Maroon 5,Memories,1,Songs/Maroon 5 - Memories (Official Video).mp3
Doja Cat,Say So,1,Songs/Doja Cat - Say So (Official Video).mp3
Billie Eilish,Everything I Wanted,1,Songs/Billie Eilish - everything i wanted (Official Music Video).mp3
Harry Styles,Watermelon Sugar,1,Songs/Harry Styles - Watermelon Sugar (Official Video).mp3
